rank,phd_school,phd_country,n,n_dest,score,D,T,R,I,is_prestigious,retention_rate,uplift,intl_rate,self_ret,pct_tenure_track,pct_permanent_research,pct_industry_senior,pct_government,pct_industry_entry,pct_postdoc,pct_further_education,pct_unknown
1,university of california berkeley,us,101,75,100.0,0.5333734967095638,0.7373801654038572,1.0,0.6732673267326733,True,0.45544554455445546,-0.20459004815741366,0.16831683168316833,0.0,39.6,11.9,3.0,0.0,4.0,18.8,5.9,16.8
2,university of texas at austin,us,112,93,98.01,0.495133627033563,0.75434090919596,1.0,0.7053571428571428,True,0.5089285714285714,-0.06203241907150736,0.30357142857142855,0.0,44.6,4.5,5.4,0.0,10.7,12.5,4.5,17.9
3,university of illinois at urbana-champaign,us,162,126,96.61,0.5118175273951855,0.7712802198564107,1.0,0.6,True,0.3333333333333333,-0.2175591170791472,0.24691358024691357,0.0,44.4,11.1,5.6,0.0,5.6,13.6,3.7,16.0
4,"university of california, berkeley",us,58,51,95.39,0.5046887160661796,0.7374743591521374,1.0,0.6793103448275862,True,0.46551724137931033,-0.12813063741996922,0.2413793103448276,0.0,41.4,10.3,5.2,0.0,3.4,13.8,8.6,17.2
5,the university of british columbia,ca,16,13,92.98,0.4529051118261417,0.6756388892740757,1.0,0.925,True,0.875,0.24507981156290837,0.5625,0.0,31.2,0.0,0.0,0.0,0.0,31.2,12.5,25.0
6,university of california riverside,us,33,32,92.2,0.43664378306687085,0.7193018870540893,1.0,0.8545454545454545,True,0.7575757575757576,0.09337749975271409,0.12121212121212122,0.0,33.3,9.1,3.0,6.1,9.1,15.2,6.1,18.2
7,university of minnesota twin cities,us,23,22,90.37,0.4129749641114041,0.7168139538108541,1.0,0.8956521739130434,True,0.8260869565217391,0.1812989495641828,0.13043478260869565,0.0,30.4,13.0,8.7,0.0,4.3,21.7,4.3,17.4
8,illinois institute of technology,us,54,48,90.03,0.4443544599605664,0.748283783971172,1.0,0.7333333333333334,True,0.5555555555555556,-0.056919231026308914,0.24074074074074073,0.0,48.1,5.6,1.9,0.0,7.4,3.7,7.4,25.9
9,rutgers university new brunswick,us,28,27,89.46,0.4071422735196888,0.7463125002888903,1.0,0.8285714285714285,True,0.7142857142857143,0.08490153379497667,0.21428571428571427,0.0,35.7,21.4,3.6,3.6,3.6,7.1,3.6,21.4
10,university of toronto,ca,177,143,89.44,0.49240961182005066,0.7640761422023693,1.0,0.5593220338983051,True,0.2655367231638418,-0.24642957584273528,0.5988700564971752,0.0,45.2,9.0,5.6,0.0,4.5,12.4,5.6,17.5
