rank,phd_school,phd_country,n,n_dest,score,D,T,R,I,is_prestigious,retention_rate,uplift,intl_rate,self_ret,pct_tenure_track,pct_permanent_research,pct_industry_senior,pct_government,pct_industry_entry,pct_postdoc,pct_further_education,pct_unknown
1,massachusetts institute of technology,us,126,95,100.0,0.5290676720929035,0.8191037477631947,1.0,0.638095238095238,True,0.3968253968253968,-0.19521744995730617,0.29365079365079366,0.0,63.5,1.6,1.6,7.1,0.0,3.2,4.0,19.0
2,london school of economics department of economics,gb,26,24,95.88,0.4524123814927666,0.7801988515962267,1.0,0.8615384615384616,True,0.7692307692307693,0.21214986835361993,0.6153846153846154,0.0,65.4,0.0,3.8,3.8,0.0,3.8,3.8,19.2
3,the university of chicago,us,26,24,95.34,0.4449686467212748,0.7747640689875311,1.0,0.8846153846153846,True,0.8076923076923077,0.19898018375790372,0.5,0.0,57.7,0.0,3.8,15.4,0.0,0.0,3.8,19.2
4,university of california san diego,us,34,31,94.95,0.4365737105155666,0.7849842069153042,1.0,0.8764705882352941,True,0.7941176470588235,0.1578274499966822,0.4411764705882353,0.0,67.6,0.0,0.0,2.9,0.0,5.9,5.9,17.6
5,"university of california, berkeley",us,65,56,93.65,0.5037393182264562,0.7998723196873698,1.0,0.64,True,0.4,-0.11987078527794537,0.36923076923076925,0.0,63.1,1.5,1.5,9.2,0.0,7.7,9.2,7.7
6,university of california los angeles,us,32,32,92.77,0.4460052207777423,0.7853682148735851,1.0,0.8125,True,0.6875,6.505137475631972e-05,0.71875,0.0,65.6,0.0,0.0,6.2,0.0,9.4,3.1,15.6
7,boston university,us,91,83,92.77,0.4791191129266956,0.7773797042651029,1.0,0.7428571428571429,True,0.5714285714285714,-0.04193792817369446,0.6813186813186813,0.0,56.0,3.3,0.0,4.4,0.0,13.2,4.4,18.7
8,university of rochester,us,56,53,92.31,0.46788422805481705,0.8005150943871898,1.0,0.7107142857142857,True,0.5178571428571429,-0.12313944078818051,0.5892857142857143,0.0,66.1,0.0,1.8,7.1,0.0,7.1,8.9,8.9
9,princeton university,us,111,94,88.99,0.4855575771869451,0.8006805127742475,1.0,0.6054054054054054,True,0.34234234234234234,-0.1986401712606376,0.40540540540540543,0.0,57.7,2.7,1.8,9.0,0.0,8.1,3.6,17.1
10,university of texas at austin,us,39,37,88.89,0.43122412609863814,0.7786296131089225,1.0,0.8,True,0.6666666666666666,0.06263117764789611,0.48717948717948717,0.0,61.5,0.0,0.0,10.3,0.0,5.1,7.7,15.4
11,university of california davis,us,66,60,87.98,0.44387391919167085,0.7963854322491446,1.0,0.7090909090909091,True,0.5151515151515151,-0.0722246429014275,0.3939393939393939,0.0,65.2,0.0,0.0,0.0,1.5,7.6,1.5,24.2
12,university of chicago,us,130,109,87.32,0.4988565804454945,0.8115943144895096,1.0,0.5153846153846154,True,0.19230769230769232,-0.28016992000942464,0.38461538461538464,0.0,60.8,3.1,3.1,3.8,0.8,9.2,3.1,16.2
13,university of minnesota system,us,26,26,86.91,0.4055485446905137,0.7965031994223137,1.0,0.7923076923076924,True,0.6538461538461539,0.1292369263188649,0.34615384615384615,0.0,73.1,0.0,0.0,7.7,0.0,0.0,7.7,11.5
14,university of toronto,ca,53,46,86.04,0.49173372324354575,0.7820431119647455,1.0,0.5811320754716981,True,0.3018867924528302,-0.20232140487077,0.5471698113207547,0.0,62.3,0.0,0.0,1.9,0.0,13.2,1.9,20.8
